15m,last,buy,sell,symbol
121814.06,121814.06,121814.06,121814.06,CAD
77078.06,77078.06,77078.06,77078.06,CHF
85944303.27,85944303.27,85944303.27,85944303.27,CLP
629124.45,629124.45,629124.45,629124.45,CNY
2082121.03,2082121.03,2082121.03,2082121.03,CZK
613244.46,613244.46,613244.46,613244.46,DKK
82208.33,82208.33,82208.33,82208.33,EUR
68490.09,68490.09,68490.09,68490.09,GBP
678743.94,678743.94,678743.94,678743.94,HKD
402493.83,402493.83,402493.83,402493.83,HRK
33642903.28,33642903.28,33642903.28,33642903.28,HUF
7363519.93,7363519.93,7363519.93,7363519.93,INR
11407668.0,11407668.0,11407668.0,11407668.0,ISK
13519469.79,13519469.79,13519469.79,13519469.79,JPY
122239394.84,122239394.84,122239394.84,122239394.84,KRW
146293095.67,146293095.67,146293095.67,146293095.67,NGN
147271.0,147271.0,147271.0,147271.0,NZD
357219.11,357219.11,357219.11,357219.11,PLN
319894.22,319894.22,319894.22,319894.22,RON
8599361.91,8599361.91,8599361.91,8599361.91,RUB
951412.53,951412.53,951412.53,951412.53,SEK
116721.74,116721.74,116721.74,116721.74,SGD
3026994.42,3026994.42,3026994.42,3026994.42,THB
2998050.28,2998050.28,2998050.28,2998050.28,TRY
2830285.24,2830285.24,2830285.24,2830285.24,TWD
87258.42,87258.42,87258.42,87258.42,USD
87062903.8,87062903.8,87062903.8,87062903.8,ARS
133748.65,133748.65,133748.65,133748.65,AUD
501561.28,501561.28,501561.28,501561.28,BRL
121814.06,121814.06,121814.06,121814.06,CAD
77078.06,77078.06,77078.06,77078.06,CHF
85944303.27,85944303.27,85944303.27,85944303.27,CLP
629124.45,629124.45,629124.45,629124.45,CNY
2082121.03,2082121.03,2082121.03,2082121.03,CZK
613244.46,613244.46,613244.46,613244.46,DKK
82208.33,82208.33,82208.33,82208.33,EUR
68490.09,68490.09,68490.09,68490.09,GBP
678743.94,678743.94,678743.94,678743.94,HKD
402493.83,402493.83,402493.83,402493.83,HRK
33642903.28,33642903.28,33642903.28,33642903.28,HUF
7363519.93,7363519.93,7363519.93,7363519.93,INR
11407668.0,11407668.0,11407668.0,11407668.0,ISK
13519469.79,13519469.79,13519469.79,13519469.79,JPY
122239394.84,122239394.84,122239394.84,122239394.84,KRW
146293095.67,146293095.67,146293095.67,146293095.67,NGN
147271.0,147271.0,147271.0,147271.0,NZD
357219.11,357219.11,357219.11,357219.11,PLN
319894.22,319894.22,319894.22,319894.22,RON
8599361.91,8599361.91,8599361.91,8599361.91,RUB
951412.53,951412.53,951412.53,951412.53,SEK
116721.74,116721.74,116721.74,116721.74,SGD
3026994.42,3026994.42,3026994.42,3026994.42,THB
2998050.28,2998050.28,2998050.28,2998050.28,TRY
2830285.24,2830285.24,2830285.24,2830285.24,TWD
87258.42,87258.42,87258.42,87258.42,USD
87062903.8,87062903.8,87062903.8,87062903.8,ARS
133748.65,133748.65,133748.65,133748.65,AUD
501561.28,501561.28,501561.28,501561.28,BRL
121814.06,121814.06,121814.06,121814.06,CAD
77078.06,77078.06,77078.06,77078.06,CHF
85944303.27,85944303.27,85944303.27,85944303.27,CLP
629124.45,629124.45,629124.45,629124.45,CNY
2082121.03,2082121.03,2082121.03,2082121.03,CZK
613244.46,613244.46,613244.46,613244.46,DKK
82208.33,82208.33,82208.33,82208.33,EUR
68490.09,68490.09,68490.09,68490.09,GBP
678743.94,678743.94,678743.94,678743.94,HKD
402493.83,402493.83,402493.83,402493.83,HRK
33642903.28,33642903.28,33642903.28,33642903.28,HUF
7363519.93,7363519.93,7363519.93,7363519.93,INR
11407668.0,11407668.0,11407668.0,11407668.0,ISK
13519469.79,13519469.79,13519469.79,13519469.79,JPY
122239394.84,122239394.84,122239394.84,122239394.84,KRW
146293095.67,146293095.67,146293095.67,146293095.67,NGN
147271.0,147271.0,147271.0,147271.0,NZD
357219.11,357219.11,357219.11,357219.11,PLN
319894.22,319894.22,319894.22,319894.22,RON
8599361.91,8599361.91,8599361.91,8599361.91,RUB
951412.53,951412.53,951412.53,951412.53,SEK
116721.74,116721.74,116721.74,116721.74,SGD
3026994.42,3026994.42,3026994.42,3026994.42,THB
2998050.28,2998050.28,2998050.28,2998050.28,TRY
2830285.24,2830285.24,2830285.24,2830285.24,TWD
87258.42,87258.42,87258.42,87258.42,USD
87062903.8,87062903.8,87062903.8,87062903.8,ARS
133748.65,133748.65,133748.65,133748.65,AUD
501561.28,501561.28,501561.28,501561.28,BRL
121814.06,121814.06,121814.06,121814.06,CAD
